,date,hour,energy_kWh
440,2015-04-13,8,1.21
441,2015-04-13,9,0.91
442,2015-04-13,10,0.95
443,2015-04-13,11,1.08
444,2015-04-13,12,1.09
445,2015-04-13,13,0.8
446,2015-04-13,14,1.03
447,2015-04-13,15,1.4
448,2015-04-13,16,1.28
449,2015-04-13,17,1.51
450,2015-04-13,18,3.21
451,2015-04-13,19,1.64
452,2015-04-13,20,1.64
453,2015-04-13,21,1.96
454,2015-04-13,22,1.53
455,2015-04-13,23,1.2
456,2015-04-14,0,0.98
457,2015-04-14,1,1.19
458,2015-04-14,2,1.05
459,2015-04-14,3,0.94
460,2015-04-14,4,1.2
461,2015-04-14,5,1.26
462,2015-04-14,6,1.14
463,2015-04-14,7,1.38
464,2015-04-14,8,1.52
465,2015-04-14,9,1.07
466,2015-04-14,10,1.45
467,2015-04-14,11,1.53
468,2015-04-14,12,1.09
469,2015-04-14,13,0.7
470,2015-04-14,14,0.98
471,2015-04-14,15,1.23
472,2015-04-14,16,1.26
473,2015-04-14,17,1.69
474,2015-04-14,18,2.58
475,2015-04-14,19,1.09
476,2015-04-14,20,1.8
477,2015-04-14,21,1.81
478,2015-04-14,22,1.5
479,2015-04-14,23,1.32
480,2015-04-15,0,0.77
481,2015-04-15,1,0.93
482,2015-04-15,2,1.09
483,2015-04-15,3,0.97
484,2015-04-15,4,1.04
485,2015-04-15,5,1.18
486,2015-04-15,6,1.4
487,2015-04-15,7,1.76
488,2015-04-15,8,1.23
489,2015-04-15,9,1.09
490,2015-04-15,10,1.43
491,2015-04-15,11,1.85
492,2015-04-15,12,1.22
493,2015-04-15,13,1.04
494,2015-04-15,14,1.06
495,2015-04-15,15,0.88
496,2015-04-15,16,1.04
497,2015-04-15,17,0.69
498,2015-04-15,18,2.67
499,2015-04-15,19,1.38
500,2015-04-15,20,1.55
501,2015-04-15,21,1.53
502,2015-04-15,22,1.58
503,2015-04-15,23,1.22
504,2015-04-16,0,0.79
505,2015-04-16,1,1.0
506,2015-04-16,2,1.01
507,2015-04-16,3,0.91
508,2015-04-16,4,0.83
509,2015-04-16,5,0.87
510,2015-04-16,6,1.27
511,2015-04-16,7,1.61
512,2015-04-16,8,1.29
513,2015-04-16,9,1.04
514,2015-04-16,10,2.45
515,2015-04-16,11,1.89
516,2015-04-16,12,1.72
517,2015-04-16,13,0.68
518,2015-04-16,14,2.32
519,2015-04-16,15,0.93
520,2015-04-16,16,0.34
521,2015-04-16,17,1.25
522,2015-04-16,18,1.78
523,2015-04-16,19,1.21
524,2015-04-16,20,1.85
525,2015-04-16,21,1.84
526,2015-04-16,22,1.41
527,2015-04-16,23,0.98
528,2015-04-17,0,0.89
529,2015-04-17,1,0.86
530,2015-04-17,2,1.05
531,2015-04-17,3,1.33
532,2015-04-17,4,0.8
533,2015-04-17,5,0.77
534,2015-04-17,6,1.44
535,2015-04-17,7,1.29
536,2015-04-17,8,1.16
537,2015-04-17,9,1.39
538,2015-04-17,10,2.95
539,2015-04-17,11,2.19
540,2015-04-17,12,1.17
541,2015-04-17,13,0.45
542,2015-04-17,14,0.65
543,2015-04-17,15,0.65
544,2015-04-17,16,0.52
545,2015-04-17,17,0.56
546,2015-04-17,18,0.93
547,2015-04-17,19,1.06
548,2015-04-17,20,1.22
549,2015-04-17,21,1.39
550,2015-04-17,22,1.23
551,2015-04-17,23,0.85
552,2015-04-18,0,0.89
553,2015-04-18,1,0.89
554,2015-04-18,2,1.0
555,2015-04-18,3,0.81
556,2015-04-18,4,0.81
557,2015-04-18,5,1.01
558,2015-04-18,6,1.18
559,2015-04-18,7,1.29
560,2015-04-18,8,1.24
561,2015-04-18,9,0.9
562,2015-04-18,10,0.99
563,2015-04-18,11,0.98
564,2015-04-18,12,1.0
565,2015-04-18,13,1.04
566,2015-04-18,14,0.35
567,2015-04-18,15,0.98
568,2015-04-18,16,0.83
569,2015-04-18,17,2.77
570,2015-04-18,18,1.68
571,2015-04-18,19,1.32
572,2015-04-18,20,1.64
573,2015-04-18,21,1.89
574,2015-04-18,22,1.67
575,2015-04-18,23,1.25
576,2015-04-19,0,0.56
577,2015-04-19,1,0.87
578,2015-04-19,2,0.71
579,2015-04-19,3,0.75
580,2015-04-19,4,1.02
581,2015-04-19,5,0.92
582,2015-04-19,6,0.75
583,2015-04-19,7,0.86
584,2015-04-19,8,1.38
585,2015-04-19,9,0.98
586,2015-04-19,10,0.89
587,2015-04-19,11,1.42
588,2015-04-19,12,0.9
589,2015-04-19,13,2.5
590,2015-04-19,14,2.9
591,2015-04-19,15,1.9
592,2015-04-19,16,2.59
593,2015-04-19,17,0.69
594,2015-04-19,18,1.09
595,2015-04-19,19,1.14
596,2015-04-19,20,0.88
597,2015-04-19,21,1.43
598,2015-04-19,22,2.51
599,2015-04-19,23,0.82
600,2015-04-20,0,0.66
601,2015-04-20,1,0.65
602,2015-04-20,2,0.69
603,2015-04-20,3,0.85
604,2015-04-20,4,0.92
605,2015-04-20,5,0.82
606,2015-04-20,6,1.01
607,2015-04-20,7,2.07
608,2015-04-20,8,0.75
609,2015-04-20,9,0.96
610,2015-04-20,10,0.72
611,2015-04-20,11,0.63
612,2015-04-20,12,0.84
613,2015-04-20,13,0.92
614,2015-04-20,14,0.61
615,2015-04-20,15,0.85
616,2015-04-20,16,0.25
617,2015-04-20,17,0.46
618,2015-04-20,18,1.84
619,2015-04-20,19,0.75
620,2015-04-20,20,1.19
621,2015-04-20,21,1.15
622,2015-04-20,22,0.99
623,2015-04-20,23,0.47
624,2015-04-21,0,0.56
625,2015-04-21,1,0.75
626,2015-04-21,2,0.65
627,2015-04-21,3,0.56
628,2015-04-21,4,0.74
629,2015-04-21,5,0.65
630,2015-04-21,6,0.95
631,2015-04-21,7,1.45
632,2015-04-21,8,0.89
633,2015-04-21,9,0.85
634,2015-04-21,10,1.96
635,2015-04-21,11,0.7
636,2015-04-21,12,0.39
637,2015-04-21,13,0.6
638,2015-04-21,14,0.28
639,2015-04-21,15,0.85
640,2015-04-21,16,0.84
641,2015-04-21,17,1.64
642,2015-04-21,18,2.52
643,2015-04-21,19,1.66
644,2015-04-21,20,1.63
645,2015-04-21,21,1.93
646,2015-04-21,22,1.75
647,2015-04-21,23,1.29
648,2015-04-22,0,0.95
649,2015-04-22,1,1.33
650,2015-04-22,2,0.9
651,2015-04-22,3,1.02
652,2015-04-22,4,0.98
653,2015-04-22,5,1.4
654,2015-04-22,6,1.43
655,2015-04-22,7,1.75
656,2015-04-22,8,1.38
657,2015-04-22,9,1.74
658,2015-04-22,10,1.11
659,2015-04-22,11,0.84
660,2015-04-22,12,0.85
661,2015-04-22,13,1.26
662,2015-04-22,14,1.14
663,2015-04-22,15,0.96
664,2015-04-22,16,0.86
665,2015-04-22,17,1.02
666,2015-04-22,18,3.09
667,2015-04-22,19,1.35
668,2015-04-22,20,3.36
669,2015-04-22,21,1.55
670,2015-04-22,22,1.22
671,2015-04-22,23,1.48
672,2015-04-23,0,0.78
673,2015-04-23,1,1.15
674,2015-04-23,2,1.08
675,2015-04-23,3,0.92
676,2015-04-23,4,1.29
677,2015-04-23,5,1.09
678,2015-04-23,6,1.28
679,2015-04-23,7,2.63
680,2015-04-23,8,1.19
681,2015-04-23,9,0.95
682,2015-04-23,10,1.2
683,2015-04-23,11,0.98
684,2015-04-23,12,0.83
685,2015-04-23,13,1.39
686,2015-04-23,14,0.96
687,2015-04-23,15,0.97
688,2015-04-23,16,2.13
689,2015-04-23,17,1.9
690,2015-04-23,18,1.66
691,2015-04-23,19,1.91
692,2015-04-23,20,3.15
693,2015-04-23,21,2.08
694,2015-04-23,22,1.75
695,2015-04-23,23,1.25
696,2015-04-24,0,0.93
697,2015-04-24,1,1.31
698,2015-04-24,2,1.02
699,2015-04-24,3,1.15
700,2015-04-24,4,1.24
701,2015-04-24,5,1.14
702,2015-04-24,6,1.72
703,2015-04-24,7,1.66
704,2015-04-24,8,1.06
705,2015-04-24,9,1.4
706,2015-04-24,10,0.9
707,2015-04-24,11,1.28
708,2015-04-24,12,0.89
709,2015-04-24,13,1.1
710,2015-04-24,14,1.51
711,2015-04-24,15,1.08
712,2015-04-24,16,1.09
713,2015-04-24,17,3.24
714,2015-04-24,18,2.08
715,2015-04-24,19,1.58
716,2015-04-24,20,1.8
717,2015-04-24,21,1.73
718,2015-04-24,22,1.71
719,2015-04-24,23,1.27
720,2015-04-25,0,1.22
721,2015-04-25,1,0.97
722,2015-04-25,2,1.28
723,2015-04-25,3,1.21
724,2015-04-25,4,0.93
725,2015-04-25,5,0.98
726,2015-04-25,6,1.33
727,2015-04-25,7,1.02
728,2015-04-25,8,1.34
729,2015-04-25,9,1.58
730,2015-04-25,10,1.77
731,2015-04-25,11,1.64
732,2015-04-25,12,1.47
733,2015-04-25,13,0.88
734,2015-04-25,14,1.77
735,2015-04-25,15,2.23
736,2015-04-25,16,1.97
737,2015-04-25,17,1.26
738,2015-04-25,18,1.61
739,2015-04-25,19,1.65
740,2015-04-25,20,1.49
741,2015-04-25,21,1.89
742,2015-04-25,22,1.87
743,2015-04-25,23,1.49
744,2015-04-26,0,0.89
745,2015-04-26,1,1.36
746,2015-04-26,2,0.7
747,2015-04-26,3,1.31
748,2015-04-26,4,0.87
749,2015-04-26,5,1.09
750,2015-04-26,6,1.28
751,2015-04-26,7,1.02
752,2015-04-26,8,2.26
753,2015-04-26,9,1.39
754,2015-04-26,10,0.91
755,2015-04-26,11,2.1
756,2015-04-26,12,1.48
757,2015-04-26,13,0.96
758,2015-04-26,14,0.85
759,2015-04-26,15,0.89
760,2015-04-26,16,1.33
761,2015-04-26,17,3.31
762,2015-04-26,18,3.43
763,2015-04-26,19,1.4
764,2015-04-26,20,1.69
765,2015-04-26,21,2.34
766,2015-04-26,22,1.81
767,2015-04-26,23,1.21
768,2015-04-27,0,0.8
769,2015-04-27,1,1.01
770,2015-04-27,2,1.02
771,2015-04-27,3,0.89
772,2015-04-27,4,1.21
773,2015-04-27,5,0.84
774,2015-04-27,6,1.87
775,2015-04-27,7,1.82
776,2015-04-27,8,1.09
777,2015-04-27,9,1.34
778,2015-04-27,10,0.96
779,2015-04-27,11,0.83
780,2015-04-27,12,1.04
781,2015-04-27,13,1.08
782,2015-04-27,14,0.75
783,2015-04-27,15,0.79
784,2015-04-27,16,0.62
785,2015-04-27,17,2.125
786,2015-04-27,18,3.06
787,2015-04-27,19,1.415
788,2015-04-27,20,1.41
789,2015-04-27,21,1.615
790,2015-04-27,22,1.56
791,2015-04-27,23,1.1400000000000001
792,2015-04-28,0,0.53
793,2015-04-28,1,0.86
794,2015-04-28,2,0.865
795,2015-04-28,3,0.855
796,2015-04-28,4,0.9450000000000001
797,2015-04-28,5,0.73
798,2015-04-28,6,1.3800000000000001
